problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
6,ExtensibleLStar,22,0,0,230,683270,9839006,570,0,97916,1210983,3,0
6,ExtensibleLStar,78,0,0,230,683270,9839006,1373,0,97916,1210983,6,0
6,ExtensibleLStar,36,0,0,230,683270,9839006,1935,0,97916,1210983,9,0
6,ExtensibleLStar,57,0,0,230,683270,9839006,2651,0,97916,1210983,12,0
6,ExtensibleLStar,1,0,0,230,683270,9839006,3375,0,97916,1210983,15,0
6,ExtensibleLStar,97,0,0,230,683270,9839006,3975,0,97916,1210983,18,0
6,ExtensibleLStar,87,0,0,230,683270,9839006,4693,0,97916,1210983,21,0
6,ExtensibleLStar,52,0,0,230,683270,9839006,6167,0,97916,1210983,25,0
6,ExtensibleLStar,67,0,0,230,683270,9839006,8548,0,97916,1210983,30,0
6,ExtensibleLStar,31,0,0,230,683270,9839006,9289,0,97916,1210983,33,0
6,ExtensibleLStar,66,0,0,230,683270,9839006,9793,0,97916,1210983,36,0
6,ExtensibleLStar,81,0,0,230,683270,9839006,10994,0,97916,1210983,40,0
6,ExtensibleLStar,61,0,0,230,683270,9839006,11509,0,97916,1210983,43,0
6,ExtensibleLStar,30,0,0,230,683270,9839006,12091,0,97916,1210983,46,0
6,ExtensibleLStar,5,0,0,230,683270,9839006,12738,0,97916,1210983,49,0
6,ExtensibleLStar,94,0,0,230,683270,9839006,13752,0,97916,1210983,52,0
6,ExtensibleLStar,53,0,0,230,683270,9839006,14745,0,97916,1210983,55,0
6,ExtensibleLStar,14,0,0,230,683270,9839006,15437,0,97916,1210983,58,0
6,ExtensibleLStar,2,0,0,230,683270,9839006,16153,0,97916,1210983,61,0
6,ExtensibleLStar,50,0,0,230,683270,9839006,16458,0,97916,1210983,64,0
6,ExtensibleLStar,15,0,0,230,683270,9839006,17174,0,97916,1210983,67,0
6,ExtensibleLStar,51,0,0,230,683270,9839006,17725,0,97916,1210983,70,0
6,ExtensibleLStar,70,0,0,230,683270,9839006,18745,0,97916,1210983,73,0
6,ExtensibleLStar,59,0,0,230,683270,9839006,20555,0,97916,1210983,77,0
6,ExtensibleLStar,68,0,0,230,683270,9839006,21271,0,97916,1210983,80,0
6,ExtensibleLStar,32,0,0,230,683270,9839006,21901,0,97916,1210983,83,0
6,ExtensibleLStar,34,0,0,230,683270,9839006,22617,0,97916,1210983,86,0
6,ExtensibleLStar,10,0,0,230,683270,9839006,23353,0,97916,1210983,89,0
6,ExtensibleLStar,6,0,0,230,683270,9839006,23874,0,97916,1210983,92,0
6,ExtensibleLStar,38,0,0,230,683270,9839006,24484,0,97916,1210983,95,0
6,ExtensibleLStar,88,0,0,230,683270,9839006,25200,0,97916,1210983,98,0
6,ExtensibleLStar,21,0,0,230,683270,9839006,25943,0,97916,1210983,102,0
6,ExtensibleLStar,26,0,0,230,683270,9839006,26224,0,97916,1210983,105,0
6,ExtensibleLStar,13,0,0,230,683270,9839006,26777,0,97916,1210983,108,0
6,ExtensibleLStar,54,0,0,230,683270,9839006,27387,0,97916,1210983,111,0
6,ExtensibleLStar,60,0,0,230,683270,9839006,28033,0,97916,1210983,114,0
6,ExtensibleLStar,0,0,0,230,683270,9839006,28749,0,97916,1210983,117,0
6,ExtensibleLStar,18,0,0,230,683270,9839006,29465,0,97916,1210983,120,0
6,ExtensibleLStar,72,0,0,230,683270,9839006,30479,0,97916,1210983,123,0
6,ExtensibleLStar,17,0,0,230,683270,9839006,31195,0,97916,1210983,126,0
6,ExtensibleLStar,99,0,0,230,683270,9839006,31444,0,97916,1210983,129,0
6,ExtensibleLStar,25,0,0,230,683270,9839006,32162,0,97916,1210983,132,0
6,ExtensibleLStar,92,0,0,230,683270,9839006,32878,0,97916,1210983,135,0
6,ExtensibleLStar,74,0,0,230,683270,9839006,33594,0,97916,1210983,138,0
6,ExtensibleLStar,29,0,0,230,683270,9839006,34310,0,97916,1210983,141,0
6,ExtensibleLStar,85,0,0,230,683270,9839006,34897,0,97916,1210983,144,0
6,ExtensibleLStar,55,0,0,230,683270,9839006,35489,0,97916,1210983,147,0
6,ExtensibleLStar,82,0,0,230,683270,9839006,36004,0,97916,1210983,150,0
6,ExtensibleLStar,90,0,0,230,683270,9839006,37018,0,97916,1210983,153,0
6,ExtensibleLStar,11,0,0,230,683270,9839006,37537,0,97916,1210983,156,0
6,ExtensibleLStar,4,0,0,230,683270,9839006,38100,0,97916,1210983,159,0
6,ExtensibleLStar,27,0,0,230,683270,9839006,38349,0,97916,1210983,162,0
6,ExtensibleLStar,24,0,0,230,683270,9839006,39065,0,97916,1210983,165,0
6,ExtensibleLStar,84,0,0,230,683270,9839006,39569,0,97916,1210983,168,0
6,ExtensibleLStar,3,0,0,230,683270,9839006,40285,0,97916,1210983,171,0
6,ExtensibleLStar,62,0,0,230,683270,9839006,41001,0,97916,1210983,174,0
6,ExtensibleLStar,83,0,0,230,683270,9839006,41648,0,97916,1210983,177,0
