problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
2,RivestSchapire,20,0,0,26,24943,68375,66,0,2902,10793,3,0
2,RivestSchapire,31,0,0,26,24943,68375,117,0,2902,10793,6,0
2,RivestSchapire,37,0,0,26,24943,68375,165,0,2902,10793,9,0
2,RivestSchapire,34,0,0,26,24943,68375,213,0,2902,10793,12,0
2,RivestSchapire,55,0,0,26,24943,68375,277,0,2902,10793,15,0
2,RivestSchapire,94,0,0,26,24943,68375,664,0,2902,10793,18,0
2,RivestSchapire,84,0,0,26,24943,68375,724,0,2902,10793,21,0
2,RivestSchapire,95,0,0,26,24943,68375,784,0,2902,10793,24,0
2,RivestSchapire,26,0,0,26,24943,68375,847,0,2902,10793,27,0
2,RivestSchapire,29,0,0,26,24943,68375,907,0,2902,10793,30,0
2,RivestSchapire,59,0,0,26,24943,68375,955,0,2902,10793,33,0
2,RivestSchapire,38,0,0,26,24943,68375,1019,0,2902,10793,36,0
2,RivestSchapire,93,0,0,26,24943,68375,1073,0,2902,10793,39,0
2,RivestSchapire,17,0,0,26,24943,68375,1146,0,2902,10793,42,0
2,RivestSchapire,44,0,0,26,24943,68375,1210,0,2902,10793,45,0
2,RivestSchapire,12,0,0,26,24943,68375,1261,0,2902,10793,48,0
2,RivestSchapire,13,0,0,26,24943,68375,1312,0,2902,10793,51,0
2,RivestSchapire,43,0,0,26,24943,68375,1363,0,2902,10793,54,0
2,RivestSchapire,49,0,0,26,24943,68375,1420,0,2902,10793,57,0
2,RivestSchapire,68,0,0,26,24943,68375,1484,0,2902,10793,60,0
2,RivestSchapire,6,0,0,26,24943,68375,1548,0,2902,10793,63,0
2,RivestSchapire,69,0,0,26,24943,68375,1614,0,2902,10793,66,0
2,RivestSchapire,87,0,0,26,24943,68375,1678,0,2902,10793,69,0
2,RivestSchapire,32,0,0,26,24943,68375,1744,0,2902,10793,72,0
2,RivestSchapire,8,0,0,26,24943,68375,1810,0,2902,10793,75,0
2,RivestSchapire,4,0,0,26,24943,68375,1885,0,2902,10793,78,0
2,RivestSchapire,47,0,0,26,24943,68375,1948,0,2902,10793,81,0
2,RivestSchapire,21,0,0,26,24943,68375,1996,0,2902,10793,84,0
2,RivestSchapire,11,0,0,26,24943,68375,2122,0,2902,10793,87,0
2,RivestSchapire,96,0,0,26,24943,68375,2188,0,2902,10793,90,0
2,RivestSchapire,58,0,0,26,24943,68375,2236,0,2902,10793,93,0
2,RivestSchapire,70,0,0,26,24943,68375,2611,0,2902,10793,96,0
2,RivestSchapire,15,0,0,26,24943,68375,2659,0,2902,10793,99,0
2,RivestSchapire,97,0,0,26,24943,68375,2725,0,2902,10793,102,0
2,RivestSchapire,23,0,0,26,24943,68375,2773,0,2902,10793,105,0
2,RivestSchapire,74,0,0,26,24943,68375,2833,0,2902,10793,108,0
2,RivestSchapire,90,0,0,26,24943,68375,2893,0,2902,10793,111,0
2,RivestSchapire,35,0,0,26,24943,68375,2957,0,2902,10793,114,0
2,RivestSchapire,40,0,0,26,24943,68375,3017,0,2902,10793,117,0
2,RivestSchapire,88,0,0,26,24943,68375,3086,0,2902,10793,120,0
2,RivestSchapire,9,0,0,26,24943,68375,3137,0,2902,10793,123,0
2,RivestSchapire,2,0,0,26,24943,68375,3191,0,2902,10793,126,0
2,RivestSchapire,25,0,0,26,24943,68375,3255,0,2902,10793,129,0
2,RivestSchapire,22,0,0,26,24943,68375,3306,0,2902,10793,132,0
2,RivestSchapire,1,0,0,26,24943,68375,3370,0,2902,10793,135,0
2,RivestSchapire,60,0,0,26,24943,68375,3434,0,2902,10793,138,0
