problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
2,TTT,40,0,0,26,16602,92670,60,0,2008,14583,3,0
2,TTT,17,0,0,26,16602,92670,133,0,2008,14583,6,0
2,TTT,20,0,0,26,16602,92670,199,0,2008,14583,9,0
2,TTT,31,0,0,26,16602,92670,250,0,2008,14583,12,0
2,TTT,9,0,0,26,16602,92670,301,0,2008,14583,15,0
2,TTT,34,0,0,26,16602,92670,349,0,2008,14583,18,0
2,TTT,13,0,0,26,16602,92670,400,0,2008,14583,21,0
2,TTT,2,0,0,26,16602,92670,454,0,2008,14583,24,0
2,TTT,43,0,0,26,16602,92670,505,0,2008,14583,27,0
2,TTT,96,0,0,26,16602,92670,571,0,2008,14583,30,0
2,TTT,12,0,0,26,16602,92670,622,0,2008,14583,33,0
2,TTT,35,0,0,26,16602,92670,686,0,2008,14583,36,0
2,TTT,60,0,0,26,16602,92670,750,0,2008,14583,39,0
2,TTT,74,0,0,26,16602,92670,810,0,2008,14583,42,0
2,TTT,21,0,0,26,16602,92670,858,0,2008,14583,45,0
2,TTT,49,0,0,26,16602,92670,915,0,2008,14583,48,0
2,TTT,37,0,0,26,16602,92670,963,0,2008,14583,51,0
2,TTT,84,0,0,26,16602,92670,1023,0,2008,14583,54,0
2,TTT,22,0,0,26,16602,92670,1074,0,2008,14583,57,0
2,TTT,90,0,0,26,16602,92670,1134,0,2008,14583,60,0
2,TTT,97,0,0,26,16602,92670,1200,0,2008,14583,63,0
2,TTT,58,0,0,26,16602,92670,1248,0,2008,14583,66,0
2,TTT,11,0,0,26,16602,92670,1374,0,2008,14583,69,0
2,TTT,94,0,0,26,16602,92670,1761,0,2008,14583,72,0
2,TTT,88,0,0,26,16602,92670,1830,0,2008,14583,75,0
2,TTT,59,0,0,26,16602,92670,1878,0,2008,14583,78,0
2,TTT,95,0,0,26,16602,92670,1938,0,2008,14583,81,0
2,TTT,26,0,0,26,16602,92670,2001,0,2008,14583,84,0
2,TTT,25,0,0,26,16602,92670,2065,0,2008,14583,87,0
2,TTT,8,0,0,26,16602,92670,2131,0,2008,14583,90,0
2,TTT,1,0,0,26,16602,92670,2195,0,2008,14583,93,0
2,TTT,23,0,0,26,16602,92670,2243,0,2008,14583,96,0
2,TTT,38,0,0,26,16602,92670,2307,0,2008,14583,99,0
2,TTT,4,0,0,26,16602,92670,2382,0,2008,14583,102,0
2,TTT,87,0,0,26,16602,92670,2446,0,2008,14583,105,0
2,TTT,93,0,0,26,16602,92670,2500,0,2008,14583,108,0
2,TTT,29,0,0,26,16602,92670,2560,0,2008,14583,111,0
2,TTT,70,0,0,26,16602,92670,2935,0,2008,14583,114,0
2,TTT,44,0,0,26,16602,92670,2999,0,2008,14583,117,0
2,TTT,15,0,0,26,16602,92670,3047,0,2008,14583,120,0
2,TTT,69,0,0,26,16602,92670,3113,0,2008,14583,123,0
2,TTT,32,0,0,26,16602,92670,3179,0,2008,14583,126,0
2,TTT,55,0,0,26,16602,92670,3243,0,2008,14583,129,0
2,TTT,6,0,0,26,16602,92670,3307,0,2008,14583,132,0
2,TTT,68,0,0,26,16602,92670,3371,0,2008,14583,135,0
2,TTT,47,0,0,26,16602,92670,3434,0,2008,14583,138,0
