problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
8,ADT,25,0,0,186,189945,0,1497,1268,5722,0,15,10
8,ADT,52,0,0,270,529624,0,44575,44033,10880,0,49,39
8,ADT,17,0,0,270,529624,0,48696,47849,10880,0,54,41
8,ADT,7,0,0,270,529624,0,58257,57093,10880,0,62,46
8,ADT,28,2,2,464,1936080,0,177295,169884,46729,0,114,93
8,ADT,97,0,0,464,1936080,0,212162,202048,46729,0,127,103
8,ADT,77,0,0,464,1936080,0,212658,202048,46729,0,130,103
8,ADT,21,0,0,464,1936080,0,216402,205304,46729,0,134,104
8,ADT,62,0,0,468,1981186,0,287103,269280,46873,0,159,124
8,ADT,31,0,0,468,1981186,0,304124,285721,46873,0,167,129
