problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
5,RivestSchapire,7,0,0,118,1242495,0,1511,1330,16000,0,11,8
5,RivestSchapire,99,0,0,118,1242495,0,1680,1330,16000,0,14,8
5,RivestSchapire,20,0,0,118,1242495,0,1870,1330,16000,0,17,8
5,RivestSchapire,37,0,0,118,1242495,0,2734,2040,16000,0,21,9
5,RivestSchapire,76,0,0,118,1242495,0,2906,2040,16000,0,24,9
5,RivestSchapire,34,1,1,183,1974421,0,7112,5609,30288,0,32,14
5,RivestSchapire,94,0,0,209,3452027,0,10629,8863,40872,0,39,18
5,RivestSchapire,46,0,0,209,3452027,0,11307,9296,40872,0,43,19
5,RivestSchapire,65,0,0,209,3452027,0,15347,13061,40872,0,49,22
5,RivestSchapire,64,0,0,209,3452027,0,16861,14321,40872,0,53,23
5,RivestSchapire,79,0,0,209,3452027,0,17551,14751,40872,0,57,24
5,RivestSchapire,38,0,0,209,3452027,0,20529,16008,40872,0,61,25
5,RivestSchapire,93,0,0,209,3452027,0,20789,16008,40872,0,64,25
5,RivestSchapire,44,0,0,209,3452027,0,21509,16438,40872,0,68,26
5,RivestSchapire,92,0,0,209,3452027,0,21772,16438,40872,0,71,26
5,RivestSchapire,51,0,0,209,3452027,0,22035,16438,40872,0,74,26
5,RivestSchapire,12,0,0,232,4632171,0,35011,29121,48848,0,89,38
5,RivestSchapire,0,0,0,232,4632171,0,37067,29601,48848,0,93,39
5,RivestSchapire,48,0,0,232,4632171,0,37335,29601,48848,0,96,39
5,RivestSchapire,42,0,0,232,4632171,0,37603,29601,48848,0,99,39
5,RivestSchapire,13,0,0,232,4632171,0,39179,29601,48848,0,102,39
5,RivestSchapire,68,0,0,232,4632171,0,39941,30077,48848,0,106,40
5,RivestSchapire,45,0,0,232,4632171,0,40218,30077,48848,0,109,40
5,RivestSchapire,69,0,0,232,4632171,0,40495,30077,48848,0,112,40
5,RivestSchapire,18,0,0,232,4632171,0,42686,31958,48848,0,117,42
5,RivestSchapire,30,0,0,232,4632171,0,42975,31958,48848,0,120,42
5,RivestSchapire,32,0,0,232,4632171,0,44653,33362,48848,0,124,43
5,RivestSchapire,8,0,0,232,4632171,0,44936,33362,48848,0,127,43
5,RivestSchapire,67,0,0,232,4632171,0,45228,33362,48848,0,130,43
5,RivestSchapire,4,0,0,232,4632171,0,45493,33362,48848,0,133,43
5,RivestSchapire,41,0,0,232,4632171,0,47459,33362,48848,0,136,43
5,RivestSchapire,86,0,0,232,4632171,0,47751,33362,48848,0,139,43
5,RivestSchapire,24,0,0,232,4632171,0,52218,37546,48848,0,145,46
5,RivestSchapire,58,0,0,232,4632171,0,54379,39424,48848,0,150,48
5,RivestSchapire,98,0,0,232,4632171,0,54665,39424,48848,0,153,48
5,RivestSchapire,16,0,0,232,4632171,0,54960,39424,48848,0,156,48
5,RivestSchapire,97,0,0,232,4632171,0,56641,40822,48848,0,160,49
5,RivestSchapire,63,0,0,232,4632171,0,56969,40822,48848,0,163,49
5,RivestSchapire,23,0,0,232,4632171,0,57285,40822,48848,0,166,49
5,RivestSchapire,74,0,0,232,4632171,0,57562,40822,48848,0,169,49
5,RivestSchapire,72,0,0,232,4632171,0,58312,41298,48848,0,173,50
5,RivestSchapire,35,0,0,232,4632171,0,58580,41298,48848,0,176,50
5,RivestSchapire,53,0,0,232,4632171,0,60295,42691,48848,0,180,51
5,RivestSchapire,62,0,0,232,4632171,0,60602,42691,48848,0,183,51
5,RivestSchapire,22,0,0,232,4632171,0,62737,44570,48848,0,188,53
5,RivestSchapire,82,0,0,232,4632171,0,63020,44570,48848,0,191,53
5,RivestSchapire,1,0,0,232,4632171,0,63318,44570,48848,0,194,53
5,RivestSchapire,60,0,0,232,4632171,0,63628,44570,48848,0,197,53
5,RivestSchapire,81,0,0,232,4632171,0,63959,44570,48848,0,200,53
