problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
8,KearnsVazirani,81,7,7,131,276830,0,29760,28935,18491,0,74,71
8,KearnsVazirani,59,0,0,131,276830,0,31659,30653,18491,0,79,73
8,KearnsVazirani,62,0,0,211,713565,0,170027,167339,36746,0,195,186
8,KearnsVazirani,12,0,0,211,713565,0,170270,167339,36746,0,198,186
8,KearnsVazirani,71,0,0,217,767715,0,205692,202491,38699,0,227,212
8,KearnsVazirani,21,0,0,217,767715,0,205933,202491,38699,0,230,212
8,KearnsVazirani,17,0,0,217,767715,0,207712,204018,38699,0,234,213
8,KearnsVazirani,25,0,0,217,767715,0,211014,207078,38699,0,239,215
8,KearnsVazirani,7,0,0,217,767715,0,211278,207078,38699,0,242,215
8,KearnsVazirani,77,0,0,217,767715,0,214593,210144,38699,0,247,217
8,KearnsVazirani,42,0,0,217,767715,0,219436,214744,38699,0,253,220
8,KearnsVazirani,74,0,0,231,808089,0,374354,369334,41564,0,359,323
8,KearnsVazirani,87,0,0,284,1342118,0,1445456,1438591,59532,0,987,948
