problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
1,ADT,25,0,0,9,309,0,92,23,61,0,7,2
1,ADT,12,0,0,9,309,0,138,23,61,0,10,2
1,ADT,38,0,0,9,309,0,189,23,61,0,13,2
1,ADT,49,0,0,9,309,0,241,23,61,0,16,2
1,ADT,3,0,0,9,309,0,296,23,61,0,19,2
1,ADT,94,0,0,12,714,0,457,87,90,0,26,4
1,ADT,73,0,0,12,714,0,515,87,90,0,29,4
1,ADT,17,0,0,12,714,0,558,87,90,0,32,4
1,ADT,15,0,0,12,714,0,589,87,90,0,35,4
1,ADT,64,0,0,12,714,0,656,87,90,0,38,4
1,ADT,44,0,0,12,714,0,722,87,90,0,41,4
1,ADT,93,0,0,12,714,0,780,87,90,0,44,4
1,ADT,47,0,0,12,714,0,846,87,90,0,47,4
1,ADT,32,0,0,12,714,0,931,87,90,0,50,4
1,ADT,56,0,0,12,714,0,968,87,90,0,53,4
1,ADT,62,0,0,12,714,0,1026,87,90,0,56,4
1,ADT,57,0,0,12,714,0,1089,87,90,0,59,4
1,ADT,18,0,0,12,714,0,1127,87,90,0,62,4
1,ADT,66,0,0,12,714,0,1191,87,90,0,65,4
1,ADT,31,0,0,12,714,0,1258,87,90,0,68,4
1,ADT,61,0,0,12,714,0,1289,87,90,0,71,4
1,ADT,63,0,0,12,714,0,1347,87,90,0,74,4
1,ADT,87,0,0,12,714,0,1414,87,90,0,77,4
1,ADT,75,0,0,12,714,0,1481,87,90,0,80,4
1,ADT,23,0,0,12,714,0,1556,87,90,0,83,4
1,ADT,84,0,0,12,714,0,1593,87,90,0,86,4
1,ADT,5,0,0,12,714,0,1656,87,90,0,89,4
1,ADT,48,0,0,12,714,0,1699,87,90,0,92,4
1,ADT,50,0,0,12,714,0,1762,87,90,0,95,4
1,ADT,26,0,0,12,714,0,1825,87,90,0,98,4
1,ADT,89,0,0,12,714,0,1894,87,90,0,101,4
1,ADT,54,0,0,12,714,0,1925,87,90,0,104,4
1,ADT,59,0,0,12,714,0,1983,87,90,0,107,4
1,ADT,65,0,0,12,714,0,2052,87,90,0,110,4
1,ADT,37,0,0,12,714,0,2121,87,90,0,113,4
1,ADT,39,0,0,12,714,0,2179,87,90,0,116,4
1,ADT,42,0,0,12,714,0,2228,87,90,0,119,4
1,ADT,29,0,0,12,714,0,2291,87,90,0,122,4
1,ADT,34,0,0,12,714,0,2358,87,90,0,125,4
1,ADT,88,0,0,12,714,0,2425,87,90,0,128,4
1,ADT,33,0,0,12,714,0,2521,87,90,0,131,4
1,ADT,81,0,0,12,714,0,2588,87,90,0,134,4
1,ADT,90,0,0,12,714,0,2651,87,90,0,137,4
1,ADT,4,0,0,12,714,0,2688,87,90,0,140,4
1,ADT,53,0,0,12,714,0,2751,87,90,0,143,4
1,ADT,58,0,0,12,714,0,2788,87,90,0,146,4
1,ADT,98,0,0,12,714,0,2822,87,90,0,149,4
1,ADT,91,0,0,12,714,0,2880,87,90,0,152,4
1,ADT,27,0,0,12,714,0,2950,87,90,0,155,4
1,ADT,20,0,0,12,714,0,3016,87,90,0,158,4
1,ADT,19,0,0,12,714,0,3071,87,90,0,161,4
1,ADT,2,0,0,16,932,28,3125,87,121,8,166,4
